entity_id,name_cn,name_en,category,scientific_name,description,typical_symptoms,severity_levels,is_core
KG-ENT-018,枣黄叶病缺铁,Jujube Iron Deficiency Yellowing,disease,Non-infectious (Nutritional),因土壤缺铁或根系吸收障碍引起的营养缺乏症，碱性土壤或根系受损时易发生，新梢顶叶首先表现症状,新梢顶部叶片叶肉变黄而叶脉仍绿;严重时全叶黄白化;叶片变小变薄;植株生长缓慢;长期缺铁导致枯梢,轻度;中度;重度,false
KG-ENT-019,枣根朽病,Jujube Root Rot,disease,Armillariella tabescens,由蜜环菌等土传病原菌引起的根部病害，病菌从根部伤口侵入，破坏根系导致树体逐渐衰弱死亡,地上部叶片黄化萎蔫;树势逐年衰弱;根部皮层腐烂木质部腐朽;根部有白色菌丝层;秋季根部长出蜜黄色蘑菇;病树最终枯死,中度;重度,false
KG-ENT-020,枣花叶病,Jujube Mosaic Disease,disease,Jujube Mosaic Virus (JuMV),由病毒引起的系统性病害，通过嫁接和蚜虫传播，病树叶片出现花叶症状影响光合作用,叶片出现黄绿相间的花叶斑驳;叶面凹凸不平;叶片变小畸形;植株矮化生长缓慢;果实变小品质下降,轻度;中度;重度,false
KG-ENT-021,枣树干腐病,Jujube Trunk Dry Rot,disease,Botryosphaeria dothidea,由葡萄座腔菌引起的枝干病害，病菌从伤口或皮孔侵入，导致枝干皮层坏死干腐,枝干皮层出现暗褐色坏死斑;病斑凹陷干缩;病健交界处开裂;后期病部出现小黑点(分生孢子器);病枝枯死,中度;重度,false
KG-ENT-022,枣树腐烂病,Jujube Canker,disease,Valsa ceratosperma,由黑腐皮壳菌引起的枝干病害，病菌在皮层内扩展导致皮层腐烂，严重时环缢枝干导致枯死,枝干皮层出现红褐色坏死;病部组织松软有酒糟味;后期病部干缩凹陷;病部产生黑色小粒点;病斑环缢导致上部枯死,重度,false
KG-ENT-023,枣介壳虫,Jujube Scale Insect,pest,Diaspidiotus perniciosus,以雌成虫和若虫固定在枝干等部位刺吸汁液为害的介壳虫，虫体被有圆形介壳保护,枝干上密布灰褐色圆形介壳;被害处皮层坏死凹陷;树势衰弱枝条枯死;排泄物诱发煤污病;严重时导致整株死亡,中度;重度,false
KG-ENT-024,枣瘿螨,Jujube Gall Mite,pest,Eriophyes sp.,以螨在叶片和嫩芽上刺吸危害形成虫瘿的微小害螨，虫体微小肉眼难以观察但危害症状明显,叶片出现小泡状隆起;虫瘿密集叶片卷曲畸形;嫩芽被害形成丛生状;新梢生长受阻;严重时叶片大量脱落,中度;重度,false
KG-ENT-025,枣粘虫,Jujube Leaf Tying Moth,pest,Ancylis sativa,以幼虫吐丝缀叶潜食的卷叶蛾类害虫，幼虫将2-3片叶缀连在一起在内取食,幼虫吐丝将叶片粘缀成苞;虫苞内有幼虫和虫粪;苞内叶肉被食仅留表皮;叶片枯焦;花序和幼果也被危害,轻度;中度;重度,false
KG-ENT-026,枣飞象,Jujube Flying Weevil,pest,Phyllobius spp.,以成虫取食枣树嫩叶和幼芽的象甲科害虫，成虫善飞行有群集危害习性,成虫群集取食嫩叶;叶片边缘出现弧形缺刻;嫩芽被咬断;叶柄被咬伤致叶片脱落;苗木和幼树受害最重,中度;重度,false
KG-ENT-027,枣大球蚧,Jujube Large Scale,pest,Eulecanium gigantea,以雌成虫固定在枝条上刺吸汁液的大型介壳虫，虫体膨大呈球形，单头雌虫产卵量大繁殖力强,枝条上附着大型半球形介壳;排泄物滴落诱发煤污;被害枝生长衰弱;叶片黄化早落;严重时大枝枯死,中度;重度,false
KG-ENT-028,枣实蝇,Jujube Fruit Fly,pest,Carpomya vesuviana,以幼虫蛀食枣果的检疫性害虫，雌虫产卵于果皮下幼虫在果内蛀食造成果实腐烂脱落,果面有产卵痕;幼虫在果内蛀食形成虫道;果实内部腐烂;被害果提前着色;果实大量脱落,中度;重度,false
KG-ENT-029,枣天牛,Jujube Longhorn Beetle,pest,Apriona germari,以幼虫钻蛀枣树枝干木质部的蛀干害虫，幼虫在枝干内蛀食形成隧道破坏输导组织,枝干上有圆形羽化孔;蛀道内有木屑和虫粪;被害枝生长衰弱;遇大风易折断;严重时整株枯死,重度,false
KG-ENT-030,枣豹蠹蛾,Jujube Leopard Moth,pest,Zeuzera coffeae,以幼虫钻蛀枣树枝条和主干的蛀干害虫，幼虫在木质部内蛀食形成长隧道,枝干上蛀孔有虫粪排出;蛀道沿髓心纵向延伸;被害枝上部枯萎;幼树被害后易从蛀孔处折断;蛀孔周围皮层坏死,中度;重度,false
KG-ENT-031,枣灰斑病,Jujube Gray Spot,disease,Pestalotiopsis spp.,由拟盘多毛孢属真菌引起的叶部和果实病害，多雨潮湿环境发病重，导致叶片枯斑和果实斑点,叶片出现近圆形灰白色病斑;病斑边缘褐色有黄色晕圈;病斑上散生小黑点;多个病斑融合成不规则大斑;叶片早落,轻度;中度;重度,false
KG-ENT-032,枣白粉病,Jujube Powdery Mildew,disease,Phyllactinia spp.,由白粉菌科真菌引起的叶片和嫩梢病害，干燥温暖气候发病重，病部覆盖白色粉状物,叶片和嫩梢表面出现白色粉状霉层;病叶皱缩卷曲;严重时白粉覆盖整个叶面;新梢生长不良;花和幼果也可受害,轻度;中度;重度,false
