pest_entity_id,climate_entity_id,optimal_range,threshold
KG-ENT-023,KG-CLI-004,春夏多雨,多雨有利传播
KG-ENT-023,KG-CLI-001,>36C,高温致死若虫
KG-ENT-023,KG-CLI-003,干旱,干旱减轻
KG-ENT-023,KG-CLI-006,<-15C,低温冻死越冬虫
KG-ENT-024,KG-CLI-001,28-35C,高温加速繁殖
KG-ENT-024,KG-CLI-003,持续干旱,干旱大发生
KG-ENT-024,KG-CLI-005,25-32C,最适温度
KG-ENT-024,KG-CLI-002,RH>80%,高湿抑制
KG-ENT-024,KG-CLI-004,连续降雨,降雨冲刷
KG-ENT-024,KG-CLI-006,<0C,低温越冬
KG-ENT-025,KG-CLI-005,22-28C,最适温度
KG-ENT-025,KG-CLI-002,RH>65%,适宜湿度
KG-ENT-025,KG-CLI-004,多雨季节,多雨年份重
KG-ENT-025,KG-CLI-001,>35C,高温抑制
KG-ENT-025,KG-CLI-003,干旱,干旱减轻
KG-ENT-025,KG-CLI-006,<-8C,低温降低越冬基数
KG-ENT-026,KG-CLI-005,18-26C,最适活动温度
KG-ENT-026,KG-CLI-001,>30C,高温加速发育
KG-ENT-026,KG-CLI-003,干旱,晴天利于成虫活动
KG-ENT-026,KG-CLI-004,春季多雨,降雨不利成虫
KG-ENT-026,KG-CLI-002,RH>85%,高湿抑制
KG-ENT-026,KG-CLI-006,<-5C,低温冻死越冬成虫
KG-ENT-027,KG-CLI-005,22-30C,最适发育温度
KG-ENT-027,KG-CLI-002,RH>70%,高湿利于孵化
KG-ENT-027,KG-CLI-004,春夏多雨,多雨有利
KG-ENT-027,KG-CLI-001,>38C,极端高温致死
KG-ENT-027,KG-CLI-003,干旱,干旱抑制
KG-ENT-027,KG-CLI-006,<-15C,低温冻死越冬虫
KG-ENT-028,KG-CLI-005,22-30C,最适成虫活动温度
KG-ENT-028,KG-CLI-002,RH>60%,适宜湿度
KG-ENT-028,KG-CLI-004,果实成熟期多雨,降雨影响产卵
KG-ENT-028,KG-CLI-001,>38C,高温致死成虫
KG-ENT-028,KG-CLI-003,干旱,土壤干旱不利蛹羽化
KG-ENT-028,KG-CLI-006,<-5C,低温降低越冬蛹存活
KG-ENT-029,KG-CLI-005,22-32C,最适成虫活动温度
KG-ENT-029,KG-CLI-001,>38C,高温致死
KG-ENT-029,KG-CLI-002,RH>60%,适宜
KG-ENT-029,KG-CLI-004,夏季多雨,多雨不影响蛀干危害
KG-ENT-029,KG-CLI-003,干旱,干旱不影响危害
KG-ENT-029,KG-CLI-006,<-10C,低温冻死越冬幼虫
KG-ENT-030,KG-CLI-005,24-30C,最适成虫羽化温度
KG-ENT-030,KG-CLI-002,RH>65%,适宜羽化
KG-ENT-030,KG-CLI-004,夏季多雨,降雨促进羽化
KG-ENT-030,KG-CLI-001,>36C,高温不利
KG-ENT-030,KG-CLI-003,干旱,干旱不影响内部危害
KG-ENT-030,KG-CLI-006,<-8C,低温冻死越冬幼虫
KG-ENT-031,KG-CLI-002,RH>80%,高湿利于侵染
KG-ENT-031,KG-CLI-004,月降雨>120mm,多雨高发
KG-ENT-031,KG-CLI-005,22-28C,适宜温度
KG-ENT-031,KG-CLI-001,>34C,高温抑制
KG-ENT-031,KG-CLI-003,干旱,干旱减轻
KG-ENT-031,KG-CLI-006,<5C,越冬
KG-ENT-032,KG-CLI-001,25-32C,温暖有利于白粉病
KG-ENT-032,KG-CLI-003,RH<70%,干燥环境有利发生
KG-ENT-032,KG-CLI-005,22-30C,最适温度
KG-ENT-032,KG-CLI-002,RH>90%,高湿反而抑制
KG-ENT-032,KG-CLI-004,连续降雨,降雨冲刷孢子
KG-ENT-032,KG-CLI-006,<5C,越冬休眠
KG-ENT-001,KG-CLI-004,日降雨>50mm,暴雨后利于传播
KG-ENT-001,KG-CLI-005,夜间温度>20C,夜温高促进发病
KG-ENT-001,KG-CLI-002,持续高湿>3天,短期高湿即可侵染
KG-ENT-002,KG-CLI-005,夜间温度>18C,夜温高促进叶蝉活跃
KG-ENT-002,KG-CLI-001,持续高温>5天,连续高温加速症状
KG-ENT-003,KG-CLI-005,夜间温度>18C,夜温高利于孢子萌发
KG-ENT-003,KG-CLI-004,连续降雨>5天,长时间高湿导致大流行
KG-ENT-004,KG-CLI-002,持续高湿>4天,长期高湿导致暴发
KG-ENT-004,KG-CLI-005,夜间>20C,夜温高加速病斑扩展
KG-ENT-005,KG-CLI-004,骤雨,骤雨增加飞溅传播
KG-ENT-005,KG-CLI-005,夜温>22C,高温高湿加速腐烂
KG-ENT-006,KG-CLI-004,连续阴雨,连续阴雨加重危害
KG-ENT-006,KG-CLI-005,夜温>18C,夜温适宜发病
KG-ENT-007,KG-CLI-004,连续阴雨>3天,阴雨高湿流行
KG-ENT-007,KG-CLI-005,夜温>18C,夜温适宜
KG-ENT-008,KG-CLI-005,早春温度>15C,早春回暖早成虫早出蛰
KG-ENT-008,KG-CLI-006,<-8C,极冷冬季大量死亡
KG-ENT-008,KG-CLI-003,春季干旱,春旱有利成虫取食
KG-ENT-009,KG-CLI-005,展叶期>18C,展叶期温度高繁殖快
KG-ENT-009,KG-CLI-002,展叶期RH>80%,展叶期高湿加重寄生
KG-ENT-010,KG-CLI-004,土壤湿度适宜,土壤不干不湿利于幼虫出土
KG-ENT-010,KG-CLI-005,>22C,温度偏高加快发育
KG-ENT-010,KG-CLI-002,RH>80%,高湿利于成虫交配产卵
KG-ENT-011,KG-CLI-005,展叶期>20C,温暖利于若虫孵化
KG-ENT-011,KG-CLI-002,RH>75%,偏高湿度适宜
KG-ENT-011,KG-CLI-001,持续高温>3天,持续高温种群下降
KG-ENT-012,KG-CLI-005,萌芽期>15C,早春温暖越冬蛹早羽化
KG-ENT-012,KG-CLI-004,春季降雨适量,适量降雨利于化蛹
KG-ENT-012,KG-CLI-006,严冬,严冬降低越冬基数
KG-ENT-013,KG-CLI-005,展叶期>20C,温暖利于成虫产卵
KG-ENT-013,KG-CLI-001,持续>35C,极端高温不利
KG-ENT-014,KG-CLI-001,连续高温>5天,持续高温种群暴增
KG-ENT-014,KG-CLI-003,连续干旱>20天,长期干旱大暴发
KG-ENT-014,KG-CLI-005,>28C,温度升高繁殖加速
KG-ENT-015,KG-CLI-005,>22C,温度适宜若虫发育
KG-ENT-015,KG-CLI-002,萌芽期RH>80%,萌芽期高湿促若虫孵化
KG-ENT-015,KG-CLI-006,<-15C,极寒冬季减少越冬基数
KG-ENT-016,KG-CLI-005,成熟期>25C,温暖促进果实生长
KG-ENT-016,KG-CLI-003,前期旱后期涝,干湿交替最易裂果
KG-ENT-017,KG-CLI-005,>30C,高温直接导致
KG-ENT-017,KG-CLI-003,持续干旱>15天,长期干旱加剧
KG-ENT-018,KG-CLI-005,萌芽期>18C,温暖促进营养吸收
KG-ENT-019,KG-CLI-005,>22C,温暖利于菌丝生长
KG-ENT-019,KG-CLI-003,土壤干旱,干旱加重树势衰弱
KG-ENT-020,KG-CLI-005,>22C,温暖利于蚜虫传播
KG-ENT-020,KG-CLI-001,持续高温,高温抑制蚜虫种群
KG-ENT-021,KG-CLI-005,>20C,温暖利于发病
KG-ENT-021,KG-CLI-006,<-8C,冻伤创造侵染机会
KG-ENT-022,KG-CLI-005,>18C,温暖适宜
KG-ENT-022,KG-CLI-006,<-12C,严重冻伤诱发腐烂
KG-ENT-023,KG-CLI-005,>20C,温暖适宜若虫孵化
KG-ENT-023,KG-CLI-006,<-18C,极寒减少越冬虫
KG-ENT-024,KG-CLI-001,>30C,持续高温暴增
KG-ENT-024,KG-CLI-005,>28C,温暖季节快速繁殖
KG-ENT-025,KG-CLI-005,>20C,温暖利于活动
KG-ENT-025,KG-CLI-002,RH适中的年份,适宜湿度不干不湿
KG-ENT-026,KG-CLI-005,>16C,早春回暖成虫活跃
KG-ENT-026,KG-CLI-002,RH适中,不过于潮湿
KG-ENT-027,KG-CLI-005,>22C,温暖利于孵化
KG-ENT-027,KG-CLI-006,<-18C,极寒减少越冬
KG-ENT-028,KG-CLI-005,>25C,温暖利于成虫活动
KG-ENT-028,KG-CLI-006,<-8C,低温减少越冬
KG-ENT-029,KG-CLI-005,>22C,温暖季节成虫活动
KG-ENT-029,KG-CLI-006,<-15C,严冬减少越冬
KG-ENT-030,KG-CLI-005,>24C,温暖利于成虫羽化
KG-ENT-030,KG-CLI-006,<-10C,严冬减少越冬
KG-ENT-031,KG-CLI-005,>20C,温暖适宜
KG-ENT-031,KG-CLI-004,连续阴雨,多雨加重
KG-ENT-032,KG-CLI-005,>22C,温暖适宜发病
KG-ENT-032,KG-CLI-001,持续>30C,温暖干燥大发生
KG-ENT-001,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-001,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-001,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-001,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-002,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-002,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-002,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-002,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-003,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-003,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-003,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-003,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-004,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-004,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-004,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-004,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-005,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-005,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-005,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-005,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-006,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-006,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-006,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-006,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-007,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-007,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-007,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-007,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-008,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-008,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-008,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-008,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-009,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-009,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-009,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-009,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-010,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-010,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-010,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-010,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-011,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-011,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-011,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-011,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-012,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-012,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-012,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-012,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-013,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-013,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-013,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-013,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-014,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-014,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-014,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-014,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-015,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-015,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-015,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-015,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-016,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-016,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-016,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-016,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-017,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-017,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-017,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-017,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-018,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-018,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-018,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-018,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-019,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-019,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-019,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-019,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-020,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-020,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-020,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-020,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-021,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-021,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-021,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-021,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-022,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-022,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-022,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-022,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-023,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-023,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-023,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-023,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-024,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-024,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-024,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-024,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-025,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-025,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-025,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-025,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-026,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-026,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-026,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-026,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-027,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-027,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-027,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-027,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-028,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-028,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-028,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-028,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-029,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-029,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-029,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-029,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-030,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-030,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-030,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-030,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-031,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-031,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-031,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-031,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
KG-ENT-032,KG-CLI-003,极端干旱,极端干旱削弱树势加重危害
KG-ENT-032,KG-CLI-001,持续高温>7天,长期高温胁迫降低树体抗性
KG-ENT-032,KG-CLI-002,持续高湿>7天,长期高湿诱发多种并发症
KG-ENT-032,KG-CLI-006,倒春寒,春季低温冻害降低树体抵抗力
