pest_entity_id,pesticide_entity_id,dosage_note,timing
KG-ENT-030,KG-PES-006,2.5%EC 500x,注孔
KG-ENT-030,KG-PES-007,10%WP 2500x,成虫期
KG-ENT-030,KG-PES-011,8000IU/mg 500x,幼虫期注孔
KG-ENT-031,KG-PES-002,70%WP 800x,发病初期
KG-ENT-031,KG-PES-003,50%WP 600x,展叶后
KG-ENT-031,KG-PES-004,80%WP 600x,雨季保护
KG-ENT-031,KG-PES-012,10亿CFU/g 600x,生物防治
KG-ENT-031,KG-PES-005,12.5%WP 2500x,发病初期
KG-ENT-031,KG-PES-010,0.3波美度,萌芽前
KG-ENT-032,KG-PES-001,25%WP 1200x,发病初期
KG-ENT-032,KG-PES-005,12.5%WP 2500x,发病初期
KG-ENT-032,KG-PES-010,0.3波美度,生长期预防
KG-ENT-032,KG-PES-004,80%WP 600x,兼治保护
KG-ENT-032,KG-PES-012,10亿CFU/g 600x,生物防治
KG-ENT-032,KG-PES-003,50%WP 600x,严重时
KG-ENT-001,KG-PES-008,1.8%EC 2500x,兼治虫害
KG-ENT-001,KG-PES-007,10%WP 2500x,兼治传病昆虫
KG-ENT-001,KG-PES-009,20%WP 2500x,兼治螨类
KG-ENT-002,KG-PES-008,1.8%EC 2500x,兼治叶蝉
KG-ENT-002,KG-PES-009,20%WP 2500x,兼治螨类
KG-ENT-003,KG-PES-002,70%WP 800x,发病严重时轮换
KG-ENT-003,KG-PES-003,50%WP 600x,轮换用药
KG-ENT-003,KG-PES-007,10%WP 2500x,兼治虫害
KG-ENT-004,KG-PES-005,12.5%WP 2500x,轮换防治
KG-ENT-004,KG-PES-007,10%WP 2500x,兼治
KG-ENT-004,KG-PES-008,1.8%EC 2500x,兼治
KG-ENT-005,KG-PES-005,12.5%WP 2500x,轮换
KG-ENT-005,KG-PES-007,10%WP 2500x,兼治
KG-ENT-005,KG-PES-008,1.8%EC 2500x,兼治
KG-ENT-006,KG-PES-007,10%WP 2500x,兼治
KG-ENT-006,KG-PES-008,1.8%EC 2500x,兼治
KG-ENT-007,KG-PES-005,12.5%WP 2500x,轮换
KG-ENT-007,KG-PES-007,10%WP 2500x,兼治
KG-ENT-007,KG-PES-008,1.8%EC 2500x,兼治
KG-ENT-008,KG-PES-009,20%WP 2500x,兼治螨类
KG-ENT-008,KG-PES-014,0.3%EC 900x,生物防治替代
KG-ENT-009,KG-PES-006,2.5%EC 2500x,严重时
KG-ENT-009,KG-PES-015,100亿/g 1200x,生物防治
KG-ENT-010,KG-PES-009,20%WP 2500x,兼治螨类
KG-ENT-010,KG-PES-014,0.3%EC 900x,生物防治
KG-ENT-011,KG-PES-009,20%WP 2500x,兼治
KG-ENT-011,KG-PES-015,100亿/g 1200x,兼治
KG-ENT-012,KG-PES-009,20%WP 2500x,兼治
KG-ENT-012,KG-PES-014,0.3%EC 900x,生物防治
KG-ENT-012,KG-PES-010,0.3波美度,兼治
KG-ENT-013,KG-PES-009,20%WP 2500x,兼治
KG-ENT-013,KG-PES-015,100亿/g 1200x,兼治
KG-ENT-014,KG-PES-015,100亿/g 1200x,兼治
KG-ENT-014,KG-PES-014,0.3%EC 900x,兼治
KG-ENT-015,KG-PES-009,20%WP 2500x,兼治
KG-ENT-015,KG-PES-014,0.3%EC 900x,生物防治
KG-ENT-016,KG-PES-010,0.3波美度,萌芽前预防
KG-ENT-016,KG-PES-007,10%WP 2500x,兼治虫害
KG-ENT-017,KG-PES-010,0.3波美度,预防
KG-ENT-017,KG-PES-007,10%WP 2500x,兼治
KG-ENT-018,KG-PES-003,50%WP 600x,灌根增施有机肥
KG-ENT-018,KG-PES-004,80%WP 600x,叶面保护
KG-ENT-019,KG-PES-005,12.5%WP 2000x,灌根
KG-ENT-019,KG-PES-008,1.8%EC 2000x,灌根防治地下害虫
KG-ENT-020,KG-PES-003,50%WP 600x,增强树势
KG-ENT-020,KG-PES-012,10亿CFU/g 600x,生物防治
KG-ENT-021,KG-PES-005,12.5%WP 2000x,涂抹病部
KG-ENT-021,KG-PES-008,1.8%EC 2000x,防治蛀干害虫
KG-ENT-022,KG-PES-005,12.5%WP 2000x,涂抹
KG-ENT-022,KG-PES-008,1.8%EC 2000x,兼治
KG-ENT-023,KG-PES-009,20%WP 2500x,兼治
KG-ENT-023,KG-PES-014,0.3%EC 900x,生物防治
KG-ENT-024,KG-PES-015,100亿/g 1200x,生物防治
KG-ENT-024,KG-PES-014,0.3%EC 900x,兼治
KG-ENT-025,KG-PES-009,20%WP 2500x,兼治
KG-ENT-025,KG-PES-013,0.3%水剂 500x,生物防治
KG-ENT-026,KG-PES-009,20%WP 2500x,兼治
KG-ENT-026,KG-PES-014,0.3%EC 900x,兼治
KG-ENT-027,KG-PES-009,20%WP 2500x,兼治
KG-ENT-027,KG-PES-014,0.3%EC 900x,生物防治
KG-ENT-028,KG-PES-009,20%WP 2500x,兼治
KG-ENT-028,KG-PES-015,100亿/g 1200x,幼虫期生物防治
KG-ENT-029,KG-PES-009,20%WP 2500x,兼治
KG-ENT-029,KG-PES-014,0.3%EC 900x,兼治
KG-ENT-030,KG-PES-009,20%WP 2500x,兼治
KG-ENT-030,KG-PES-014,0.3%EC 900x,兼治
KG-ENT-031,KG-PES-007,10%WP 2500x,兼治
KG-ENT-031,KG-PES-008,1.8%EC 2500x,兼治
KG-ENT-032,KG-PES-007,10%WP 2500x,兼治
KG-ENT-032,KG-PES-008,1.8%EC 2500x,兼治
KG-ENT-002,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-002,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-008,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-008,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-009,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-009,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-010,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-010,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-011,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-011,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-012,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-012,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-013,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-013,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-014,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-014,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-015,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-015,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-017,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-018,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-019,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-020,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-020,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-021,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-022,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-023,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-023,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-024,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-024,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-025,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-025,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-026,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-026,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-027,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-027,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-028,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-028,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-029,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-029,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-030,KG-PES-002,常规浓度,兼治辅助用药
KG-ENT-030,KG-PES-004,常规浓度,兼治保护性用药
KG-ENT-032,KG-PES-002,常规浓度,兼治辅助用药
