pest_entity_id,symptom_entity_id,confidence,description
KG-ENT-005,KG-SYM-009,0.9,病部产生白色或粉色霉层
KG-ENT-005,KG-SYM-005,0.75,腐烂后失水皱缩
KG-ENT-005,KG-SYM-001,0.7,果面出现水渍状斑
KG-ENT-005,KG-SYM-010,0.3,并发煤污病
KG-ENT-005,KG-SYM-002,0.25,严重时叶片黄化
KG-ENT-005,KG-SYM-006,0.2,果实腐烂汁液污染枝条
KG-ENT-005,KG-SYM-003,0.15,叶部并发症状卷曲
KG-ENT-006,KG-SYM-001,0.95,褐斑病典型症状:叶片出现褐色斑点
KG-ENT-006,KG-SYM-012,0.85,病斑干枯脱落形成穿孔
KG-ENT-006,KG-SYM-019,0.8,严重时叶片早落
KG-ENT-006,KG-SYM-002,0.75,病叶黄化
KG-ENT-006,KG-SYM-003,0.5,严重时叶片卷曲
KG-ENT-006,KG-SYM-005,0.55,果实受害出现凹陷褐斑
KG-ENT-006,KG-SYM-004,0.4,果实病斑处可腐烂
KG-ENT-006,KG-SYM-009,0.3,高湿时病部产生霉层
KG-ENT-006,KG-SYM-010,0.25,并发煤污
KG-ENT-006,KG-SYM-018,0.2,虫害复合发生时叶片缺刻
KG-ENT-007,KG-SYM-001,0.98,叶黑斑病典型症状:叶片出现黑色圆形斑点
KG-ENT-007,KG-SYM-002,0.85,病叶黄化
KG-ENT-007,KG-SYM-019,0.8,严重时叶片早落
KG-ENT-007,KG-SYM-012,0.7,病斑脱落穿孔
KG-ENT-007,KG-SYM-003,0.55,叶片卷曲
KG-ENT-007,KG-SYM-009,0.35,高湿时产生霉层
KG-ENT-007,KG-SYM-005,0.3,影响光合作用间接导致果实皱缩
KG-ENT-007,KG-SYM-006,0.25,新梢生长受阻
KG-ENT-007,KG-SYM-010,0.2,并发煤污
KG-ENT-007,KG-SYM-018,0.2,虫害并发叶片缺刻
KG-ENT-008,KG-SYM-018,0.98,枣芽象甲典型症状:嫩芽和幼叶被啃食呈缺刻
KG-ENT-008,KG-SYM-012,0.85,叶片被食造成穿孔
KG-ENT-008,KG-SYM-019,0.75,危害严重导致落果
KG-ENT-008,KG-SYM-003,0.65,嫩芽被害后叶片卷曲
KG-ENT-008,KG-SYM-002,0.5,危害导致树势衰弱叶片黄化
KG-ENT-008,KG-SYM-005,0.55,幼果被害出现疤痕皱缩
KG-ENT-008,KG-SYM-020,0.45,危害花器和嫩芽
KG-ENT-008,KG-SYM-006,0.3,危害导致新梢枯死
KG-ENT-008,KG-SYM-013,0.25,偶有蛀入幼果
KG-ENT-008,KG-SYM-001,0.2,伤口可引发叶斑病
KG-ENT-009,KG-SYM-017,0.98,枣瘿蚊典型症状:叶片形成虫瘿
KG-ENT-009,KG-SYM-003,0.95,叶片卷曲畸形
KG-ENT-009,KG-SYM-002,0.8,严重时叶片黄化
KG-ENT-009,KG-SYM-019,0.7,严重时叶片早落
KG-ENT-009,KG-SYM-001,0.35,虫瘿组织坏死形成斑点
KG-ENT-009,KG-SYM-012,0.25,虫瘿干枯脱落形成穿孔
KG-ENT-009,KG-SYM-010,0.3,并发煤污
KG-ENT-009,KG-SYM-006,0.2,新梢生长受抑制
KG-ENT-010,KG-SYM-013,0.98,桃小食心虫典型症状:果实有蛀入孔和虫粪
KG-ENT-010,KG-SYM-019,0.95,被害果提前变红脱落
KG-ENT-010,KG-SYM-004,0.9,幼虫蛀食导致果实腐烂
KG-ENT-010,KG-SYM-005,0.8,被害果皱缩
KG-ENT-010,KG-SYM-009,0.35,腐烂处产生霉层
KG-ENT-010,KG-SYM-001,0.25,果面产卵处有斑点
KG-ENT-010,KG-SYM-002,0.2,严重危害树势衰弱叶片黄化
KG-ENT-011,KG-SYM-012,0.98,绿盲蝽典型症状:嫩叶被刺吸后出现小孔展开后呈破叶
KG-ENT-011,KG-SYM-003,0.9,嫩叶被害后卷曲
KG-ENT-011,KG-SYM-020,0.85,危害花器导致畸形
KG-ENT-011,KG-SYM-019,0.8,幼果被害后脱落
KG-ENT-011,KG-SYM-005,0.85,幼果被刺吸后凹陷硬化皱缩
KG-ENT-011,KG-SYM-002,0.6,严重危害叶片黄化
KG-ENT-011,KG-SYM-001,0.5,刺吸点组织坏死形成斑点
KG-ENT-011,KG-SYM-006,0.35,嫩梢被害枯萎
KG-ENT-011,KG-SYM-010,0.3,排泄物诱发煤污
KG-ENT-011,KG-SYM-018,0.25,与咀嚼式害虫并发时叶片缺刻
KG-ENT-012,KG-SYM-018,0.98,枣尺蠖典型症状:幼虫暴食叶片仅留主脉
KG-ENT-012,KG-SYM-019,0.85,严重危害导致落果
KG-ENT-012,KG-SYM-012,0.8,叶片被食后穿孔残缺
KG-ENT-012,KG-SYM-002,0.75,树势极度衰弱叶片黄化
KG-ENT-012,KG-SYM-003,0.5,新生叶片可能卷曲
KG-ENT-012,KG-SYM-005,0.6,影响营养积累果实皱缩
KG-ENT-012,KG-SYM-006,0.4,危害导致枝条生长不良
KG-ENT-012,KG-SYM-001,0.25,伤口处可感染叶斑病
KG-ENT-012,KG-SYM-020,0.2,危害花器和幼果
KG-ENT-012,KG-SYM-010,0.15,并发煤污
KG-ENT-013,KG-SYM-015,0.98,枣镰翅小卷蛾典型症状:幼虫吐丝将叶片缀连成苞
KG-ENT-013,KG-SYM-018,0.85,虫苞内叶肉被食
KG-ENT-013,KG-SYM-002,0.8,被害叶片枯黄
KG-ENT-013,KG-SYM-003,0.75,叶片纵卷
KG-ENT-013,KG-SYM-005,0.55,危害影响果实发育
KG-ENT-013,KG-SYM-019,0.6,严重时导致落果
KG-ENT-013,KG-SYM-020,0.5,幼虫也危害花序
KG-ENT-013,KG-SYM-001,0.25,伤口感染叶斑病
KG-ENT-013,KG-SYM-010,0.2,并发煤污
KG-ENT-013,KG-SYM-013,0.3,幼虫可蛀入幼果
KG-ENT-013,KG-SYM-009,0.15,高湿时并发白粉病
KG-ENT-014,KG-SYM-002,0.98,枣红蜘蛛典型症状:叶片褪绿黄化
KG-ENT-014,KG-SYM-003,0.85,严重时叶片卷曲
KG-ENT-014,KG-SYM-019,0.8,严重时叶片焦枯早落
KG-ENT-014,KG-SYM-001,0.7,叶面出现褪绿小斑点
KG-ENT-014,KG-SYM-005,0.6,影响光合作用果实皱缩
KG-ENT-014,KG-SYM-009,0.25,严重时叶背有蛛网状物
KG-ENT-014,KG-SYM-010,0.3,排泄物诱发煤污
KG-ENT-014,KG-SYM-006,0.35,严重危害新梢枯死
KG-ENT-014,KG-SYM-012,0.2,与病害并发时叶片穿孔
KG-ENT-015,KG-SYM-014,0.98,枣龟蜡蚧典型症状:枝干和叶片附着白色蜡壳
KG-ENT-015,KG-SYM-010,0.95,排泄物诱发黑色煤污病
KG-ENT-015,KG-SYM-002,0.85,被害叶片褪绿黄化
KG-ENT-015,KG-SYM-006,0.8,严重时枝条枯死
KG-ENT-015,KG-SYM-019,0.6,树势衰弱导致落果
KG-ENT-015,KG-SYM-005,0.55,影响果实发育皱缩
KG-ENT-015,KG-SYM-003,0.45,叶片受害后卷曲
KG-ENT-015,KG-SYM-001,0.3,刺吸点组织坏死
KG-ENT-015,KG-SYM-009,0.2,并发白粉病
KG-ENT-015,KG-SYM-007,0.15,极端严重时根系受影响
KG-ENT-016,KG-SYM-019,0.95,裂果病导致大量裂果脱落
KG-ENT-016,KG-SYM-004,0.85,裂口处感染霉菌导致果实腐烂
KG-ENT-016,KG-SYM-005,0.75,果实开裂后失水皱缩
KG-ENT-016,KG-SYM-001,0.5,裂口周围果皮变色
KG-ENT-016,KG-SYM-009,0.4,裂口处产生霉层
KG-ENT-016,KG-SYM-002,0.25,严重发生时树势衰弱叶片黄化
KG-ENT-016,KG-SYM-010,0.2,裂口处可产生黑色霉
KG-ENT-017,KG-SYM-005,0.95,日灼病典型症状:果实向阳面坏死凹陷皱缩
KG-ENT-017,KG-SYM-004,0.8,日灼处组织坏死可引发腐烂
KG-ENT-017,KG-SYM-019,0.85,严重日灼导致落果
KG-ENT-017,KG-SYM-001,0.75,果面出现褐色坏死斑
KG-ENT-017,KG-SYM-002,0.5,严重时叶片黄化
KG-ENT-017,KG-SYM-006,0.35,枝干也受日灼伤害
KG-ENT-017,KG-SYM-010,0.2,日灼伤口可感染霉菌
KG-ENT-017,KG-SYM-003,0.25,叶片日灼后卷曲
KG-ENT-018,KG-SYM-002,0.98,黄叶病典型症状:新梢顶部叶片叶肉变黄叶脉仍绿
KG-ENT-018,KG-SYM-003,0.7,严重时叶片变薄卷曲
KG-ENT-018,KG-SYM-001,0.45,严重时叶片边缘焦枯形成斑点
KG-ENT-018,KG-SYM-006,0.55,长期缺铁导致枯梢
KG-ENT-018,KG-SYM-005,0.6,营养缺乏果实变小皱缩
KG-ENT-018,KG-SYM-019,0.5,严重时落果
KG-ENT-018,KG-SYM-007,0.35,缺铁与根系吸收障碍有关
KG-ENT-018,KG-SYM-020,0.25,花器发育不良
KG-ENT-019,KG-SYM-007,0.98,根朽病典型症状:根部皮层腐烂木质部腐朽
KG-ENT-019,KG-SYM-002,0.9,地上部叶片黄化萎蔫
KG-ENT-019,KG-SYM-019,0.8,树势衰弱落果
KG-ENT-019,KG-SYM-006,0.75,病重时枝干枯死
KG-ENT-019,KG-SYM-005,0.65,果实皱缩品质下降
KG-ENT-019,KG-SYM-003,0.5,叶片萎蔫卷曲
KG-ENT-019,KG-SYM-001,0.3,叶片出现坏死斑
KG-ENT-019,KG-SYM-009,0.4,根部有白色菌丝层
KG-ENT-019,KG-SYM-004,0.2,根部腐烂并发果实腐烂
KG-ENT-020,KG-SYM-001,0.95,花叶病典型症状:叶片出现黄绿相间的花叶斑驳
KG-ENT-020,KG-SYM-002,0.85,叶片黄化
KG-ENT-020,KG-SYM-003,0.8,叶面凹凸不平叶片变小卷曲
KG-ENT-020,KG-SYM-005,0.7,植株矮化果实变小
KG-ENT-020,KG-SYM-020,0.55,花器可能发育不良
KG-ENT-020,KG-SYM-019,0.5,严重时落果
KG-ENT-020,KG-SYM-006,0.4,长期感染枝条生长不良
KG-ENT-020,KG-SYM-007,0.25,根系发育受影响
KG-ENT-021,KG-SYM-006,0.98,干腐病典型症状:枝干皮层坏死干腐
KG-ENT-021,KG-SYM-002,0.85,病枝叶片黄化
KG-ENT-021,KG-SYM-019,0.75,树势衰弱落果
KG-ENT-021,KG-SYM-005,0.65,果实发育受影响皱缩
KG-ENT-021,KG-SYM-003,0.55,叶片卷曲萎蔫
KG-ENT-021,KG-SYM-001,0.4,叶片出现斑驳
KG-ENT-021,KG-SYM-009,0.3,病部后期产生霉层
KG-ENT-021,KG-SYM-013,0.25,病部有小黑点如蛀孔状
KG-ENT-022,KG-SYM-006,0.98,腐烂病典型症状:枝干皮层腐烂坏死
KG-ENT-022,KG-SYM-002,0.9,上部叶片黄化枯死
KG-ENT-022,KG-SYM-019,0.85,树势衰弱大量落果
KG-ENT-022,KG-SYM-003,0.6,叶片失水卷曲
KG-ENT-022,KG-SYM-005,0.7,果实皱缩
KG-ENT-022,KG-SYM-001,0.45,叶片出现坏死斑
KG-ENT-022,KG-SYM-007,0.3,极度严重时根系受影响
KG-ENT-022,KG-SYM-009,0.25,病部产生霉层
KG-ENT-023,KG-SYM-014,0.98,介壳虫典型症状:枝干密布灰褐色圆形介壳
KG-ENT-023,KG-SYM-010,0.95,排泄物诱发黑色煤污
KG-ENT-023,KG-SYM-002,0.85,叶片褪绿黄化
KG-ENT-023,KG-SYM-006,0.9,枝干皮层坏死枯死
KG-ENT-023,KG-SYM-019,0.75,严重时落果
KG-ENT-023,KG-SYM-005,0.7,果实发育不良皱缩
KG-ENT-023,KG-SYM-003,0.5,叶片卷曲
KG-ENT-023,KG-SYM-001,0.35,刺吸点组织坏死
KG-ENT-023,KG-SYM-007,0.2,极度严重时根系受影响
KG-ENT-024,KG-SYM-017,0.98,瘿螨典型症状:叶片出现小泡状虫瘿
KG-ENT-024,KG-SYM-003,0.95,叶片卷曲畸形
KG-ENT-024,KG-SYM-002,0.85,严重时叶片黄化
KG-ENT-024,KG-SYM-019,0.75,严重时叶片早落
KG-ENT-024,KG-SYM-001,0.4,虫瘿组织坏死斑点
KG-ENT-024,KG-SYM-010,0.3,并发煤污
KG-ENT-024,KG-SYM-006,0.35,嫩梢生长受抑制
KG-ENT-024,KG-SYM-005,0.45,影响光合作用间接导致果实皱缩
KG-ENT-024,KG-SYM-012,0.2,虫瘿干枯穿孔
KG-ENT-025,KG-SYM-015,0.98,粘虫典型症状:幼虫吐丝将叶片粘缀成苞
KG-ENT-025,KG-SYM-018,0.85,虫苞内叶肉被食
KG-ENT-025,KG-SYM-002,0.8,被害叶枯黄
KG-ENT-025,KG-SYM-020,0.75,幼虫也危害花序和幼果
KG-ENT-025,KG-SYM-019,0.7,危害导致落果
KG-ENT-025,KG-SYM-005,0.6,幼果被害皱缩
KG-ENT-025,KG-SYM-003,0.55,叶片缀连卷曲
KG-ENT-025,KG-SYM-001,0.35,伤口感染叶斑
KG-ENT-025,KG-SYM-010,0.25,并发煤污
KG-ENT-025,KG-SYM-004,0.2,幼虫蛀入果实引起腐烂
KG-ENT-026,KG-SYM-018,0.98,飞象典型症状:成虫群集取食叶片造成弧形缺刻
KG-ENT-026,KG-SYM-012,0.8,叶片被食多处穿孔
KG-ENT-026,KG-SYM-019,0.75,危害严重导致落果
KG-ENT-026,KG-SYM-003,0.6,嫩芽被害后叶片畸形卷曲
KG-ENT-026,KG-SYM-002,0.65,严重危害叶片黄化
KG-ENT-026,KG-SYM-005,0.55,幼果被害出现疤痕皱缩
KG-ENT-026,KG-SYM-006,0.4,嫩梢被害折断
KG-ENT-026,KG-SYM-001,0.3,伤口感染斑点病
KG-ENT-026,KG-SYM-010,0.2,并发煤污
KG-ENT-027,KG-SYM-014,0.98,大球蚧典型症状:枝条附着大型半球形介壳
KG-ENT-027,KG-SYM-010,0.95,排泄物诱发严重煤污病
KG-ENT-027,KG-SYM-002,0.85,被害枝叶片黄化
KG-ENT-027,KG-SYM-006,0.9,严重时大枝枯死
KG-ENT-027,KG-SYM-019,0.8,树势衰弱落果
KG-ENT-027,KG-SYM-005,0.75,果实皱缩品质下降
KG-ENT-027,KG-SYM-003,0.5,叶片卷曲
KG-ENT-027,KG-SYM-001,0.35,刺吸斑点
KG-ENT-027,KG-SYM-007,0.2,极度严重时根系受影响
KG-ENT-028,KG-SYM-013,0.98,实蝇典型症状:果面产卵痕和幼虫蛀食虫粪
KG-ENT-028,KG-SYM-004,0.95,幼虫在果内蛀食导致果实腐烂
KG-ENT-028,KG-SYM-019,0.95,被害果大量脱落
KG-ENT-028,KG-SYM-005,0.8,果实被害后皱缩
KG-ENT-028,KG-SYM-001,0.4,果面产卵处有斑点
KG-ENT-028,KG-SYM-009,0.3,腐烂处产生霉层
KG-ENT-028,KG-SYM-002,0.25,严重危害树势衰弱叶片黄化
KG-ENT-029,KG-SYM-013,0.98,天牛典型症状:枝干有蛀孔和木屑虫粪
KG-ENT-029,KG-SYM-016,0.98,枝干上有圆形羽化孔
KG-ENT-029,KG-SYM-006,0.9,蛀道破坏输导组织导致枝条枯死
KG-ENT-029,KG-SYM-002,0.85,被害枝叶片黄化
KG-ENT-029,KG-SYM-019,0.8,树势衰弱落果
KG-ENT-029,KG-SYM-005,0.7,营养输送受阻果实皱缩
KG-ENT-029,KG-SYM-003,0.55,叶片卷曲萎蔫
KG-ENT-029,KG-SYM-007,0.4,严重时根系营养不足
KG-ENT-029,KG-SYM-001,0.3,叶片出现坏死斑
KG-ENT-030,KG-SYM-013,0.98,豹蠹蛾典型症状:枝干蛀孔有虫粪排出
KG-ENT-030,KG-SYM-006,0.95,蛀道导致枝干枯死
KG-ENT-030,KG-SYM-002,0.88,被害枝上部叶片黄化枯萎
KG-ENT-030,KG-SYM-019,0.78,严重危害落果
KG-ENT-030,KG-SYM-005,0.7,营养输送受阻果实皱缩
KG-ENT-030,KG-SYM-016,0.85,成虫羽化后留下羽化孔
KG-ENT-030,KG-SYM-003,0.5,上部叶片卷曲
KG-ENT-030,KG-SYM-001,0.3,叶片出现坏死斑
KG-ENT-031,KG-SYM-001,0.95,灰斑病典型症状:叶片出现近圆形灰白色病斑
KG-ENT-031,KG-SYM-012,0.8,病斑脱落穿孔
KG-ENT-031,KG-SYM-002,0.75,病叶黄化
KG-ENT-031,KG-SYM-019,0.75,严重时叶片早落
KG-ENT-031,KG-SYM-003,0.5,叶片卷曲
KG-ENT-031,KG-SYM-005,0.45,果实受害出现斑点皱缩
KG-ENT-031,KG-SYM-004,0.35,果实病斑处可腐烂
KG-ENT-031,KG-SYM-009,0.3,高湿时病部产生霉层
KG-ENT-031,KG-SYM-010,0.25,并发煤污
KG-ENT-031,KG-SYM-018,0.2,虫害并发叶片缺刻
KG-ENT-032,KG-SYM-009,0.98,白粉病典型症状:叶片和嫩梢覆盖白色粉状霉层
KG-ENT-032,KG-SYM-003,0.9,病叶皱缩卷曲
KG-ENT-032,KG-SYM-020,0.75,花序受害花器畸形
KG-ENT-032,KG-SYM-019,0.7,严重时落叶落果
KG-ENT-032,KG-SYM-002,0.65,病叶黄化
KG-ENT-032,KG-SYM-005,0.6,果实受害皱缩
KG-ENT-032,KG-SYM-001,0.4,霉层下叶组织出现斑点
KG-ENT-032,KG-SYM-004,0.3,果实受害可腐烂
KG-ENT-032,KG-SYM-006,0.35,新梢生长不良
KG-ENT-032,KG-SYM-010,0.2,并发煤污
KG-ENT-032,KG-SYM-018,0.15,与食叶害虫并发
KG-ENT-001,KG-SYM-008,0.15,严重衰弱时偶见丛枝
KG-ENT-001,KG-SYM-020,0.2,花器偶受害
KG-ENT-001,KG-SYM-006,0.2,枝干偶见病斑
KG-ENT-001,KG-SYM-007,0.1,极严重时根系受影响
KG-ENT-001,KG-SYM-013,0.2,虫害并发时果面有蛀孔
KG-ENT-001,KG-SYM-014,0.1,并发介壳虫时枝干有蜡壳
KG-ENT-001,KG-SYM-015,0.15,虫害并发时叶片缀连
KG-ENT-001,KG-SYM-016,0.08,极罕见有羽化孔样病痕
KG-ENT-001,KG-SYM-017,0.12,偶见虫瘿并发
KG-ENT-002,KG-SYM-012,0.15,病叶偶见穿孔
KG-ENT-002,KG-SYM-018,0.1,虫害并发叶片缺刻
KG-ENT-003,KG-SYM-004,0.1,极严重时果实表面偶有病斑
KG-ENT-003,KG-SYM-018,0.1,虫害并发叶片缺刻
KG-ENT-003,KG-SYM-020,0.08,极罕见花器受害
KG-ENT-003,KG-SYM-008,0.05,极严重时偶见丛生
KG-ENT-003,KG-SYM-014,0.08,并发介壳虫
KG-ENT-004,KG-SYM-012,0.1,叶部并发穿孔
KG-ENT-005,KG-SYM-012,0.1,叶部并发穿孔
KG-ENT-006,KG-SYM-020,0.1,花器偶受害
KG-ENT-006,KG-SYM-006,0.15,枝干偶见病斑
KG-ENT-007,KG-SYM-004,0.1,果实偶受害
KG-ENT-007,KG-SYM-020,0.08,花器偶受害
KG-ENT-008,KG-SYM-008,0.08,极严重时偶见丛生状新梢
KG-ENT-008,KG-SYM-007,0.1,极严重时根系营养不足
KG-ENT-008,KG-SYM-014,0.08,并发介壳虫
KG-ENT-008,KG-SYM-015,0.1,并发卷叶蛾
KG-ENT-008,KG-SYM-016,0.05,偶见天牛羽化孔
KG-ENT-008,KG-SYM-017,0.1,并发瘿螨
KG-ENT-009,KG-SYM-008,0.1,严重时偶见丛芽
KG-ENT-010,KG-SYM-012,0.1,叶部并发穿孔
KG-ENT-010,KG-SYM-006,0.1,极严重时枝干衰弱
KG-ENT-011,KG-SYM-008,0.05,极严重时偶见丛芽
KG-ENT-011,KG-SYM-007,0.1,严重危害根系营养不足
KG-ENT-011,KG-SYM-009,0.08,并发白粉病时叶片有霉层
KG-ENT-011,KG-SYM-014,0.1,并发介壳虫
KG-ENT-011,KG-SYM-015,0.1,并发卷叶蛾
KG-ENT-011,KG-SYM-016,0.05,偶见天牛
KG-ENT-011,KG-SYM-017,0.1,并发瘿螨
KG-ENT-012,KG-SYM-008,0.08,极严重衰弱时偶见丛生
KG-ENT-013,KG-SYM-008,0.05,极严重衰弱时偶见丛生
KG-ENT-013,KG-SYM-004,0.1,幼虫蛀果腐烂
KG-ENT-014,KG-SYM-008,0.05,极严重衰弱时偶见丛生
KG-ENT-015,KG-SYM-008,0.05,极严重时偶见丛芽
KG-ENT-016,KG-SYM-006,0.1,严重时枝干衰弱
KG-ENT-016,KG-SYM-003,0.15,叶片偶见卷曲
KG-ENT-017,KG-SYM-008,0.05,严重衰弱偶见丛生
KG-ENT-018,KG-SYM-008,0.1,长期严重缺铁偶见丛芽
KG-ENT-018,KG-SYM-004,0.1,营养缺乏果实偶腐烂
KG-ENT-019,KG-SYM-008,0.05,严重衰弱偶见丛生
KG-ENT-019,KG-SYM-014,0.05,极度衰弱并发介壳虫
KG-ENT-020,KG-SYM-008,0.1,严重时偶见丛芽
KG-ENT-020,KG-SYM-004,0.1,抗性降低果实偶腐烂
KG-ENT-021,KG-SYM-008,0.05,严重衰弱偶见丛生
KG-ENT-022,KG-SYM-008,0.05,严重衰弱偶见丛生
KG-ENT-022,KG-SYM-004,0.1,抗性降低果实偶腐烂
KG-ENT-023,KG-SYM-008,0.05,严重衰弱偶见丛芽
KG-ENT-024,KG-SYM-008,0.05,严重衰弱偶见丛芽
KG-ENT-025,KG-SYM-008,0.05,严重衰弱偶见丛芽
KG-ENT-026,KG-SYM-008,0.05,严重衰弱偶见丛芽
KG-ENT-026,KG-SYM-007,0.08,极度严重根系受影响
KG-ENT-027,KG-SYM-008,0.05,严重衰弱偶见丛芽
KG-ENT-028,KG-SYM-008,0.05,严重衰弱偶见丛芽
KG-ENT-028,KG-SYM-006,0.1,严重危害树势衰弱
KG-ENT-029,KG-SYM-008,0.05,严重衰弱偶见丛生
KG-ENT-030,KG-SYM-008,0.05,严重衰弱偶见丛生
KG-ENT-031,KG-SYM-008,0.05,严重衰弱偶见丛生
KG-ENT-032,KG-SYM-008,0.05,严重衰弱偶见丛生
KG-ENT-001,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-001,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-002,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-002,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-003,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-003,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-004,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-004,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-005,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-005,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-006,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-006,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-007,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-007,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-008,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-008,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-009,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-009,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-010,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-010,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-011,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-011,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-012,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-012,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-013,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-013,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-014,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-014,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-015,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
KG-ENT-015,KG-SYM-016,0.08,枝干极度衰弱时偶见虫蛀样孔
KG-ENT-016,KG-SYM-017,0.10,严重受害时偶见轻微虫瘿反应
