pest_entity_id,prevention_entity_id,priority,effectiveness
KG-ENT-002,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-002,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-002,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-002,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-002,KG-PREV-019,6,使用植物源农药防治
KG-ENT-002,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-002,KG-PREV-002,1,清除病树枝叶
KG-ENT-002,KG-PREV-005,1,选用抗疯病品种
KG-ENT-002,KG-PREV-015,3,及时发现并铲除病树
KG-ENT-003,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-003,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-003,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-003,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-003,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-003,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-003,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-003,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-003,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-003,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-003,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-003,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-003,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-003,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-003,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-003,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-003,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-003,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-003,KG-PREV-019,6,使用植物源农药防治
KG-ENT-003,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-003,KG-PREV-001,1,修剪通风降低湿度
KG-ENT-003,KG-PREV-008,1,雨季前喷波尔多液
KG-ENT-003,KG-PREV-004,2,控制果园湿度
KG-ENT-004,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-004,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-004,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-004,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-004,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-004,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-004,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-004,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-004,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-004,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-004,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-004,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-004,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-004,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-004,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-004,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-004,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-004,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-004,KG-PREV-019,6,使用植物源农药防治
KG-ENT-004,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-004,KG-PREV-007,2,花后喷药保护幼果
KG-ENT-004,KG-PREV-014,3,果实套袋防侵染
KG-ENT-004,KG-PREV-008,2,雨季前保护性杀菌剂
KG-ENT-005,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-005,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-005,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-005,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-005,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-005,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-005,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-005,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-005,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-005,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-005,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-005,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-005,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-005,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-005,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-005,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-005,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-005,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-005,KG-PREV-019,6,使用植物源农药防治
KG-ENT-005,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-005,KG-PREV-014,2,果实套袋
KG-ENT-005,KG-PREV-007,2,花后喷杀菌剂
KG-ENT-005,KG-PREV-002,1,清除树上树下病果
KG-ENT-006,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-006,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-006,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-006,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-006,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-006,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-006,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-006,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-006,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-006,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-006,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-006,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-006,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-006,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-006,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-006,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-006,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-006,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-006,KG-PREV-019,6,使用植物源农药防治
KG-ENT-006,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-006,KG-PREV-008,1,雨季前波尔多液保护
KG-ENT-006,KG-PREV-007,2,花后喷药
KG-ENT-006,KG-PREV-002,2,清除病叶
KG-ENT-007,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-007,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-007,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-007,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-007,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-007,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-007,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-007,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-007,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-007,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-007,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-007,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-007,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-007,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-007,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-007,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-007,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-007,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-007,KG-PREV-019,6,使用植物源农药防治
KG-ENT-007,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-007,KG-PREV-008,1,雨季保护
KG-ENT-007,KG-PREV-007,2,花后施药
KG-ENT-007,KG-PREV-002,2,清除病叶
KG-ENT-008,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-008,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-008,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-008,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-008,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-008,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-008,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-008,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-008,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-008,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-008,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-008,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-008,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-008,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-008,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-008,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-008,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-008,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-008,KG-PREV-019,6,使用植物源农药防治
KG-ENT-008,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-008,KG-PREV-015,2,早春人工捕杀成虫
KG-ENT-008,KG-PREV-006,1,萌芽前石硫合剂杀灭
KG-ENT-008,KG-PREV-011,3,黄色粘虫板诱杀
KG-ENT-009,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-009,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-009,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-009,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-009,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-009,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-009,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-009,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-009,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-009,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-009,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-009,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-009,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-009,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-009,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-009,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-009,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-009,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-009,KG-PREV-019,6,使用植物源农药防治
KG-ENT-009,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-009,KG-PREV-011,3,黄色粘虫板诱杀成虫
KG-ENT-009,KG-PREV-006,2,萌芽前石硫合剂
KG-ENT-009,KG-PREV-019,4,植物源农药印楝素
KG-ENT-010,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-010,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-010,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-010,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-010,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-010,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-010,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-010,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-010,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-010,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-010,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-010,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-010,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-010,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-010,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-010,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-010,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-010,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-010,KG-PREV-019,6,使用植物源农药防治
KG-ENT-010,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-010,KG-PREV-016,2,释放赤眼蜂寄生卵
KG-ENT-010,KG-PREV-017,3,Bt制剂防治幼虫
KG-ENT-010,KG-PREV-011,4,性诱剂诱杀成虫
KG-ENT-011,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-011,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-011,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-011,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-011,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-011,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-011,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-011,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-011,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-011,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-011,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-011,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-011,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-011,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-011,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-011,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-011,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-011,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-011,KG-PREV-019,6,使用植物源农药防治
KG-ENT-011,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-011,KG-PREV-011,3,黄色粘虫板诱杀
KG-ENT-011,KG-PREV-018,5,保护天敌控制
KG-ENT-011,KG-PREV-019,4,苦参碱喷雾
KG-ENT-012,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-012,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-012,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-012,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-012,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-012,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-012,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-012,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-012,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-012,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-012,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-012,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-012,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-012,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-012,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-012,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-012,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-012,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-012,KG-PREV-019,6,使用植物源农药防治
KG-ENT-012,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-012,KG-PREV-017,2,Bt制剂防治幼虫
KG-ENT-012,KG-PREV-012,3,杀虫灯诱杀成虫
KG-ENT-012,KG-PREV-015,2,人工捕杀幼虫
KG-ENT-013,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-013,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-013,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-013,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-013,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-013,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-013,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-013,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-013,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-013,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-013,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-013,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-013,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-013,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-013,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-013,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-013,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-013,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-013,KG-PREV-019,6,使用植物源农药防治
KG-ENT-013,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-013,KG-PREV-017,3,Bt制剂
KG-ENT-013,KG-PREV-012,4,杀虫灯诱杀
KG-ENT-013,KG-PREV-019,5,印楝素防治
KG-ENT-014,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-014,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-014,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-014,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-014,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-014,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-014,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-014,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-014,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-014,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-014,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-014,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-014,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-014,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-014,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-014,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-014,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-014,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-014,KG-PREV-019,6,使用植物源农药防治
KG-ENT-014,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-014,KG-PREV-004,2,果园灌溉增加湿度不利红蜘蛛
KG-ENT-014,KG-PREV-019,3,苦参碱
KG-ENT-014,KG-PREV-018,4,保护捕食螨
KG-ENT-015,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-015,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-015,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-015,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-015,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-015,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-015,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-015,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-015,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-015,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-015,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-015,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-015,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-015,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-015,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-015,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-015,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-015,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-015,KG-PREV-019,6,使用植物源农药防治
KG-ENT-015,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-015,KG-PREV-006,1,萌芽前石硫合剂杀灭越冬若虫
KG-ENT-015,KG-PREV-015,2,冬季刮除蜡壳
KG-ENT-015,KG-PREV-013,2,树干涂白
KG-ENT-016,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-016,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-016,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-016,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-016,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-016,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-016,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-016,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-016,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-016,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-016,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-016,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-016,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-016,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-016,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-016,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-016,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-016,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-016,KG-PREV-019,6,使用植物源农药防治
KG-ENT-016,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-017,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
KG-ENT-017,KG-PREV-002,2,清洁果园清除病残体减少病虫源
KG-ENT-017,KG-PREV-003,3,科学施肥增强树势提高抗病虫能力
KG-ENT-017,KG-PREV-004,5,果园覆盖合理灌溉控制湿度
KG-ENT-017,KG-PREV-005,4,选用抗病品种长期防控
KG-ENT-017,KG-PREV-006,2,萌芽前喷石硫合剂铲除越冬病虫源
KG-ENT-017,KG-PREV-007,3,花后喷施杀菌剂预防侵染
KG-ENT-017,KG-PREV-008,4,雨季前喷波尔多液保护叶片和果实
KG-ENT-017,KG-PREV-009,5,生长期针对性药剂防治
KG-ENT-017,KG-PREV-010,6,成熟前使用低残留药剂
KG-ENT-017,KG-PREV-011,6,悬挂黄色粘虫板诱杀小型害虫
KG-ENT-017,KG-PREV-012,7,频振式杀虫灯诱杀夜行性害虫成虫
KG-ENT-017,KG-PREV-013,1,树干涂白防冻杀灭越冬虫源
KG-ENT-017,KG-PREV-014,8,果实套袋防虫防病
KG-ENT-017,KG-PREV-015,9,人工捕杀大型害虫
KG-ENT-017,KG-PREV-016,7,释放赤眼蜂寄生害虫卵
KG-ENT-017,KG-PREV-017,6,喷施Bt制剂防治鳞翅目幼虫
KG-ENT-017,KG-PREV-018,8,保护利用天敌昆虫
KG-ENT-017,KG-PREV-019,6,使用植物源农药防治
KG-ENT-017,KG-PREV-020,9,施用微生物菌剂改良土壤
KG-ENT-018,KG-PREV-001,1,合理修剪改善通风透光是基础防治措施
